"","Well_Label","Phenotype","Firing_rate_Hz","EB_Dur","EB_Dur_Std","Spikes_per_EB","Spikes_per_EB_Std","EB_ISI","EB_ISI_Std","IEBI","IEBI_Std","IEBI_CV","IEBI_CV_Std","EB_rate_Hz","EB_rate_Std","EB_prop","EB_prop_Std","NB_rate_Hz","NB_prop","NB_dur","NB_dur_Std","Firing_Rate_in_NB_Hz","Firing_Rate_in_NB_Std","INBI","INBI_Std","batch","cell_line_batch","machine","PT_all_path","DIV_range","Syndrome","Gene","Compound_short","Compound","Own_control","Color_general","Cell_line_general","Unique_ID","PT_all_path_Well_Label"
"11","B5","KdVS_CR_P_10um",0.587181818181818,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"100-2016","KdVS_CR_P_10um100-2016","axion","D:/2025/KdVS_paper/PT_all/Developmental/DIV14/Axion/100-2016","DIV14","KdVS","KANSL1","P_10um","prednisone","Mother_CNT","#DC143C","KdVS_CR","D:/2025/KdVS_paper/PT_all/Developmental/DIV14/Axion/100-2016_B5_11","D:/2025/KdVS_paper/PT_all/Developmental/DIV14/Axion/100-2016_B5"
"12","B6","Mother_CNT",0.856857142857143,0.0132142857142857,0.0494433297537985,0.423642857142857,1.58512642578259,0.0374917482517492,NA,10.233,NA,0.864,NA,0.0138095238095238,0.0516705067697354,1.683,6.29720938194054,0,0,NA,NA,NA,NA,NA,NA,"100-2016","Mother_CNT100-2016","axion","D:/2025/KdVS_paper/PT_all/Developmental/DIV14/Axion/100-2016","DIV14","control","control","NT","NT","Mother_CNT","#555555","Mother_CNT","D:/2025/KdVS_paper/PT_all/Developmental/DIV14/Axion/100-2016_B6_12","D:/2025/KdVS_paper/PT_all/Developmental/DIV14/Axion/100-2016_B6"
"13","C1","KdVS_CR_P_10um",0.159833333333333,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"100-2016","KdVS_CR_P_10um100-2016","axion","D:/2025/KdVS_paper/PT_all/Developmental/DIV14/Axion/100-2016","DIV14","KdVS","KANSL1","P_10um","prednisone","Mother_CNT","#DC143C","KdVS_CR","D:/2025/KdVS_paper/PT_all/Developmental/DIV14/Axion/100-2016_C1_13","D:/2025/KdVS_paper/PT_all/Developmental/DIV14/Axion/100-2016_C1"
"14","C2","Mother_CNT",0.2536,0.0178,0.0562885423509972,0.5,1.58113883008419,0.0445299999999946,NA,227.533,NA,NA,NA,0.000666666666666667,0.00210818510677892,0.1773,0.560671829147854,0,0,NA,NA,NA,NA,NA,NA,"100-2016","Mother_CNT100-2016","axion","D:/2025/KdVS_paper/PT_all/Developmental/DIV14/Axion/100-2016","DIV14","control","control","NT","NT","Mother_CNT","#555555","Mother_CNT","D:/2025/KdVS_paper/PT_all/Developmental/DIV14/Axion/100-2016_C2_14","D:/2025/KdVS_paper/PT_all/Developmental/DIV14/Axion/100-2016_C2"
"15","C3","KdVS_CR_NT",0.118153846153846,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"100-2016","KdVS_CR_NT100-2016","axion","D:/2025/KdVS_paper/PT_all/Developmental/DIV14/Axion/100-2016","DIV14","KdVS","KANSL1","NT","NT","Mother_CNT","#DC143C","KdVS_CR","D:/2025/KdVS_paper/PT_all/Developmental/DIV14/Axion/100-2016_C3_15","D:/2025/KdVS_paper/PT_all/Developmental/DIV14/Axion/100-2016_C3"
"16","C4","KdVS_CR_P_10um",0.596583333333333,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"100-2016","KdVS_CR_P_10um100-2016","axion","D:/2025/KdVS_paper/PT_all/Developmental/DIV14/Axion/100-2016","DIV14","KdVS","KANSL1","P_10um","prednisone","Mother_CNT","#DC143C","KdVS_CR","D:/2025/KdVS_paper/PT_all/Developmental/DIV14/Axion/100-2016_C4_16","D:/2025/KdVS_paper/PT_all/Developmental/DIV14/Axion/100-2016_C4"
"17","C5","KdVS_CR_PH_10um",0.302,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"100-2016","KdVS_CR_PH_10um100-2016","axion","D:/2025/KdVS_paper/PT_all/Developmental/DIV14/Axion/100-2016","DIV14","KdVS","KANSL1","PH_10um","phloretin","Mother_CNT","#DC143C","KdVS_CR","D:/2025/KdVS_paper/PT_all/Developmental/DIV14/Axion/100-2016_C5_17","D:/2025/KdVS_paper/PT_all/Developmental/DIV14/Axion/100-2016_C5"
"18","C6","KdVS_CR_F_10um",0.1386,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"100-2016","KdVS_CR_F_10um100-2016","axion","D:/2025/KdVS_paper/PT_all/Developmental/DIV14/Axion/100-2016","DIV14","KdVS","KANSL1","F_10um","fasudil","Mother_CNT","#DC143C","KdVS_CR","D:/2025/KdVS_paper/PT_all/Developmental/DIV14/Axion/100-2016_C6_18","D:/2025/KdVS_paper/PT_all/Developmental/DIV14/Axion/100-2016_C6"
"19","D1","KdVS_CR_PH_10um",0.299666666666667,0.0211666666666667,0.0733234841870825,0.558333333333333,1.93412340178525,0.0446400000000025,NA,57.717,NA,0.61,NA,0.00277777777777778,0.00962250448649376,4.32816666666667,14.9932091405854,0,0,NA,NA,NA,NA,NA,NA,"100-2016","KdVS_CR_PH_10um100-2016","axion","D:/2025/KdVS_paper/PT_all/Developmental/DIV14/Axion/100-2016","DIV14","KdVS","KANSL1","PH_10um","phloretin","Mother_CNT","#DC143C","KdVS_CR","D:/2025/KdVS_paper/PT_all/Developmental/DIV14/Axion/100-2016_D1_19","D:/2025/KdVS_paper/PT_all/Developmental/DIV14/Axion/100-2016_D1"
"20","D2","Mother_CNT",0.460222222222222,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"100-2016","Mother_CNT100-2016","axion","D:/2025/KdVS_paper/PT_all/Developmental/DIV14/Axion/100-2016","DIV14","control","control","NT","NT","Mother_CNT","#555555","Mother_CNT","D:/2025/KdVS_paper/PT_all/Developmental/DIV14/Axion/100-2016_D2_20","D:/2025/KdVS_paper/PT_all/Developmental/DIV14/Axion/100-2016_D2"
"21","D3","KdVS_CR_NT",0.250857142857143,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"100-2016","KdVS_CR_NT100-2016","axion","D:/2025/KdVS_paper/PT_all/Developmental/DIV14/Axion/100-2016","DIV14","KdVS","KANSL1","NT","NT","Mother_CNT","#DC143C","KdVS_CR","D:/2025/KdVS_paper/PT_all/Developmental/DIV14/Axion/100-2016_D3_21","D:/2025/KdVS_paper/PT_all/Developmental/DIV14/Axion/100-2016_D3"
"22","D4","KdVS_CR_P_10um",0.272,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"100-2016","KdVS_CR_P_10um100-2016","axion","D:/2025/KdVS_paper/PT_all/Developmental/DIV14/Axion/100-2016","DIV14","KdVS","KANSL1","P_10um","prednisone","Mother_CNT","#DC143C","KdVS_CR","D:/2025/KdVS_paper/PT_all/Developmental/DIV14/Axion/100-2016_D4_22","D:/2025/KdVS_paper/PT_all/Developmental/DIV14/Axion/100-2016_D4"
"23","D5","KdVS_CR_PH_10um",0.347785714285714,0.014,0.0523832034148352,0.380928571428571,1.42530420311896,0.045304615384623,NA,85.731,NA,1.25,NA,0.000714285714285714,0.00267261241912424,0.193357142857143,0.723476181856933,0,0,NA,NA,NA,NA,NA,NA,"100-2016","KdVS_CR_PH_10um100-2016","axion","D:/2025/KdVS_paper/PT_all/Developmental/DIV14/Axion/100-2016","DIV14","KdVS","KANSL1","PH_10um","phloretin","Mother_CNT","#DC143C","KdVS_CR","D:/2025/KdVS_paper/PT_all/Developmental/DIV14/Axion/100-2016_D5_23","D:/2025/KdVS_paper/PT_all/Developmental/DIV14/Axion/100-2016_D5"
"24","D6","KdVS_CR_F_10um",0.253,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"100-2016","KdVS_CR_F_10um100-2016","axion","D:/2025/KdVS_paper/PT_all/Developmental/DIV14/Axion/100-2016","DIV14","KdVS","KANSL1","F_10um","fasudil","Mother_CNT","#DC143C","KdVS_CR","D:/2025/KdVS_paper/PT_all/Developmental/DIV14/Axion/100-2016_D6_24","D:/2025/KdVS_paper/PT_all/Developmental/DIV14/Axion/100-2016_D6"
"25","A1","KdVS_CR_NT",1.03164285714286,0.0796428571428571,0.120471258712708,2.56864285714286,3.80751591960191,0.0358606619040383,0.00566811991311855,105.7925,120.938078217739,1.06,0.228685373384482,0.02,0.0653851181478911,4.78128571428571,12.291864435337,0.02,0.0887040887040887,1.07833333333334,0.751801480888843,3.86405046817851,0.730067659200383,82.7268,33.4543024617163,"100-2031","KdVS_CR_NT100-2031","axion","D:/2025/KdVS_paper/PT_all/Developmental/DIV14/Axion/100-2031","DIV14","KdVS","KANSL1","NT","NT","Mother_CNT","#DC143C","KdVS_CR","D:/2025/KdVS_paper/PT_all/Developmental/DIV14/Axion/100-2031_A1_25","D:/2025/KdVS_paper/PT_all/Developmental/DIV14/Axion/100-2031_A1"
