"","Well_Label","Phenotype","Firing_rate_Hz","EB_Dur","EB_Dur_Std","Spikes_per_EB","Spikes_per_EB_Std","EB_ISI","EB_ISI_Std","IEBI","IEBI_Std","IEBI_CV","IEBI_CV_Std","EB_rate_Hz","EB_rate_Std","EB_prop","EB_prop_Std","NB_rate_Hz","NB_prop","NB_dur","NB_dur_Std","Firing_Rate_in_NB_Hz","Firing_Rate_in_NB_Std","INBI","INBI_Std","batch","cell_line_batch","machine","PT_all_path","DIV_range","Syndrome","Gene","Compound_short","Compound","Own_control","Color_general","Cell_line_general","Unique_ID","PT_all_path_Well_Label"
"1","A1","KdVS_CR_NT",2.6295,0.20175,0.263809906308817,9.7871875,15.2768963131423,0.0295223997596809,0.00934129204349604,26.5235714285714,32.5788502142988,0.583142857142857,0.227747249212388,0.0652083333333333,0.0907007186871767,23.740625,34.4455476152821,0.166666666666667,0.814025356576862,0.921360000000002,0.0615851028898904,13.9484531372536,0.703587008894649,11.0598367346939,1.30650263660498,"100-2016","KdVS_CR_NT100-2016","axion","D:/2025/KdVS_paper/PT_all/Developmental/DIV30/Axion/100-2016","DIV30","KdVS","KANSL1","NT","NT","Mother_CNT","#DC143C","KdVS_CR","D:/2025/KdVS_paper/PT_all/Developmental/DIV30/Axion/100-2016_A1_1","D:/2025/KdVS_paper/PT_all/Developmental/DIV30/Axion/100-2016_A1"
"2","A2","KdVS_CR_PH_10um",3.8301875,0.2050625,0.304934193720547,17.457625,37.7546785478303,0.0257241985891301,0.0103799277617282,67.2745714285714,68.9486254609356,0.449166666666667,0.239249172760674,0.0408333333333333,0.0696180053338694,17.7054375,31.6644828074374,0.15,0.713516160626836,0.801822222222225,0.0529713854525878,22.7338659779699,0.900692620199663,12.3367727272727,1.12308629715923,"100-2016","KdVS_CR_PH_10um100-2016","axion","D:/2025/KdVS_paper/PT_all/Developmental/DIV30/Axion/100-2016","DIV30","KdVS","KANSL1","PH_10um","phloretin","Mother_CNT","#DC143C","KdVS_CR","D:/2025/KdVS_paper/PT_all/Developmental/DIV30/Axion/100-2016_A2_2","D:/2025/KdVS_paper/PT_all/Developmental/DIV30/Axion/100-2016_A2"
"3","A3","KdVS_CR_F_10um",2.729,0.0455384615384615,0.0924622584126585,1.76746153846154,3.55233950177871,0.0297577746376142,0.000691550172619377,79.297,128.569331650281,0.722333333333333,0.455155284857084,0.0584615384615385,0.140644122631446,4.36684615384615,10.2412407113441,0.216666666666667,0.227787209960385,0.862953846153843,0.502010222467169,3.23253781320571,0.63025832731731,8.08818750000001,5.93196173251579,"100-2016","KdVS_CR_F_10um100-2016","axion","D:/2025/KdVS_paper/PT_all/Developmental/DIV30/Axion/100-2016","DIV30","KdVS","KANSL1","F_10um","fasudil","Mother_CNT","#DC143C","KdVS_CR","D:/2025/KdVS_paper/PT_all/Developmental/DIV30/Axion/100-2016_A3_3","D:/2025/KdVS_paper/PT_all/Developmental/DIV30/Axion/100-2016_A3"
"4","A4","KdVS_CR_NT",5.109625,0.4133125,0.373204629973066,27.379375,32.1187569557624,0.0203654575291959,0.00701349111340204,15.2234545454545,5.09750522047082,0.474363636363636,0.206912190422543,0.0904166666666667,0.0661185803437027,47.06975,35.0844378103265,0.12,0.712094635937181,0.843277777777787,0.0292189870862978,35.9480194259079,1.2725658510524,15.6110285714286,1.70416806485666,"100-2016","KdVS_CR_NT100-2016","axion","D:/2025/KdVS_paper/PT_all/Developmental/DIV30/Axion/100-2016","DIV30","KdVS","KANSL1","NT","NT","Mother_CNT","#DC143C","KdVS_CR","D:/2025/KdVS_paper/PT_all/Developmental/DIV30/Axion/100-2016_A4_4","D:/2025/KdVS_paper/PT_all/Developmental/DIV30/Axion/100-2016_A4"
"5","A5","KdVS_CR_P_10um",5.09373333333333,0.353533333333333,0.356699126248813,22.5532666666667,26.2806144564682,0.0208495147570864,0.00727045859674649,27.1967,41.125457044539,0.5396,0.241419505793914,0.0891111111111111,0.0806074818957033,40.5894,35.8389045527742,0.136666666666667,0.720408519553073,0.871170731707318,0.0434809742525589,30.8300247530858,1.39587718912416,13.909,0.937937617519929,"100-2016","KdVS_CR_P_10um100-2016","axion","D:/2025/KdVS_paper/PT_all/Developmental/DIV30/Axion/100-2016","DIV30","KdVS","KANSL1","P_10um","prednisone","Mother_CNT","#DC143C","KdVS_CR","D:/2025/KdVS_paper/PT_all/Developmental/DIV30/Axion/100-2016_A5_5","D:/2025/KdVS_paper/PT_all/Developmental/DIV30/Axion/100-2016_A5"
"6","A6","Mother_CNT",13.1248125,0.4425625,0.247631707380133,58.689875,51.3856142616783,0.0103894226329339,0.00377015466580745,12.0695,7.53826559185423,0.8704375,0.228040338171415,0.191666666666667,0.0761382757687422,80.9789375,16.2666272737313,0.18,0.865509795827644,0.694148148148153,0.339295352353347,88.6668176030897,8.72093935890411,10.3442641509434,8.22358648165082,"100-2016","Mother_CNT100-2016","axion","D:/2025/KdVS_paper/PT_all/Developmental/DIV30/Axion/100-2016","DIV30","control","control","NT","NT","Mother_CNT","#555555","Mother_CNT","D:/2025/KdVS_paper/PT_all/Developmental/DIV30/Axion/100-2016_A6_6","D:/2025/KdVS_paper/PT_all/Developmental/DIV30/Axion/100-2016_A6"
"7","B1","KdVS_CR_NT",3.0342,0.243466666666667,0.243056097777173,9.85773333333333,10.3504454663739,0.0287057393220187,0.00325503421278025,73.9812727272727,133.863685175697,0.573666666666667,0.199165760109513,0.0906666666666667,0.080683587363486,28.9976,27.0729649698208,0.136666666666667,0.636544410075122,0.881658536585368,0.0568100386182314,15.9467152595294,0.839892404319968,13.80445,0.853165867481742,"100-2016","KdVS_CR_NT100-2016","axion","D:/2025/KdVS_paper/PT_all/Developmental/DIV30/Axion/100-2016","DIV30","KdVS","KANSL1","NT","NT","Mother_CNT","#DC143C","KdVS_CR","D:/2025/KdVS_paper/PT_all/Developmental/DIV30/Axion/100-2016_B1_7","D:/2025/KdVS_paper/PT_all/Developmental/DIV30/Axion/100-2016_B1"
"8","B2","KdVS_CR_PH_10um",2.7698125,0.134625,0.247819524385523,8.7504375,22.298992640831,0.0257107993318245,0.00890062051542248,14.7536666666667,11.225115654935,0.609,0.100552473863153,0.0679166666666667,0.106471175024563,17.8224375,27.5799955715944,0.146666666666667,0.617487573429733,0.826090909090906,0.0639301283494889,14.1164617117061,0.871310286850502,12.8953023255814,0.831358599347328,"100-2016","KdVS_CR_PH_10um100-2016","axion","D:/2025/KdVS_paper/PT_all/Developmental/DIV30/Axion/100-2016","DIV30","KdVS","KANSL1","PH_10um","phloretin","Mother_CNT","#DC143C","KdVS_CR","D:/2025/KdVS_paper/PT_all/Developmental/DIV30/Axion/100-2016_B2_8","D:/2025/KdVS_paper/PT_all/Developmental/DIV30/Axion/100-2016_B2"
"9","B3","KdVS_CR_F_10um",0.9757,0.037,0.0809608959107214,1.2367,2.62702662719661,0.0350928787878803,0.00603333504177878,72.334,46.8260252637355,1.4205,0.123743686707646,0.00633333333333333,0.0159048094286905,1.1802,2.97143275579681,0,0,NA,NA,NA,NA,NA,NA,"100-2016","KdVS_CR_F_10um100-2016","axion","D:/2025/KdVS_paper/PT_all/Developmental/DIV30/Axion/100-2016","DIV30","KdVS","KANSL1","F_10um","fasudil","Mother_CNT","#DC143C","KdVS_CR","D:/2025/KdVS_paper/PT_all/Developmental/DIV30/Axion/100-2016_B3_9","D:/2025/KdVS_paper/PT_all/Developmental/DIV30/Axion/100-2016_B3"
"10","B4","KdVS_CR_F_10um",1.24438461538462,0.0297692307692308,0.0736570361497052,0.879153846153846,2.14915083409525,0.040767612903227,0.00540850010002123,52.1975,19.0275363749488,0.731,NA,0.0041025641025641,0.0129209739165268,0.652461538461538,2.11181598848734,0,0,NA,NA,NA,NA,NA,NA,"100-2016","KdVS_CR_F_10um100-2016","axion","D:/2025/KdVS_paper/PT_all/Developmental/DIV30/Axion/100-2016","DIV30","KdVS","KANSL1","F_10um","fasudil","Mother_CNT","#DC143C","KdVS_CR","D:/2025/KdVS_paper/PT_all/Developmental/DIV30/Axion/100-2016_B4_10","D:/2025/KdVS_paper/PT_all/Developmental/DIV30/Axion/100-2016_B4"
