Well,cell_line
A1,KdVS164_NT
A2,KdVS164_F_1um
A3,KdVS164_F_1um
A4,KdVS164_PH_1um
A5,KdVS1_NT
A6,KdVS1_F_1um
A7,KdVS1_F_1um
A8,KdVS1_PH_1um
B1,KdVS164_NT
B2,KdVS164_F_1um
B3,KdVS164_F_1um
B4,KdVS164_PH_1um
B5,KdVS1_NT
B6,KdVS1_F_1um
B7,KdVS1_F_1um
B8,KdVS1_PH_1um
C1,KdVS2_NT
C2,KdVS2_F_1um
C3,KdVS2_F_1um
C4,KdVS2_PH_1um
C5,KdVS3_NT
C6,KdVS3_F_1um
C7,KdVS3_F_1um
C8,KdVS3_PH_1um
D1,KdVS2_NT
D2,KdVS2_F_1um
D3,KdVS2_F_1um
D4,KdVS2_PH_1um
D5,KdVS3_NT
D6,KdVS3_F_1um
D7,KdVS3_F_1um
D8,KdVS3_PH_1um
E1,WTC
E2,WTC_F_1um
E3,WTC_F_1um
E4,WTC_PH_1um
E5,IPSI123
E6,IPSI123_F_1um
E7,IPSI123_F_1um
E8,IPSI123_PH_1um
F1,WTC
F2,WTC_F_1um
F3,WTC_F_1um
F4,WTC_PH_1um
F5,IPSI123
F6,IPSI123_F_1um
F7,IPSI123_F_1um
F8,IPSI123_PH_1um
